time_ns,clock,v,ve,p_bits,p_dec,pe_bits,pe_dec,b,error,reset,start,ready,state_bits,state,next_state_bits,next,count
0,1,0,0,xxxxx,,xxxxx,,0,0,0,0,0,0x,0x,0x,0x,
50,0,0,0,xxxxx,,xxxxx,,0,0,1,0,0,0x,0x,0x,0x,
100,1,0,0,xxxxx,,xxxxx,,0,0,1,0,1,01,IDLE,01,IDLE,
150,0,0,0,xxxxx,,xxxxx,,0,0,1,0,1,01,IDLE,01,IDLE,
200,1,0,0,xxxxx,,xxxxx,,0,0,1,0,1,01,IDLE,01,IDLE,
250,0,0,1,xxxxx,,00000,0,1@0,0,0,1,1,01,IDLE,10,CHECK,
300,1,1,1,00000,0,00000,0,1@0,0,0,1,0,10,CHECK,01,IDLE,0
350,0,1,1,00000,0,00000,0,1@0,0,0,1,0,10,CHECK,01,IDLE,0
400,1,1,1,00000,0,00000,0,1@0,0,0,0,1,01,IDLE,01,IDLE,0
450,0,1,1,00000,0,00001,1,1@1,0,0,1,1,01,IDLE,10,CHECK,0
500,1,0,1,00000,0,00001,1,1@1,0,0,1,0,10,CHECK,10,CHECK,0
550,0,0,1,00000,0,00001,1,1@1,0,0,0,0,10,CHECK,10,CHECK,0
600,1,1,1,00001,1,00001,1,1@1,0,0,0,0,10,CHECK,01,IDLE,1
650,0,1,1,00001,1,00001,1,1@1,0,0,0,0,10,CHECK,01,IDLE,1
700,1,1,1,00001,1,00001,1,1@1,0,0,0,1,01,IDLE,01,IDLE,1
750,0,1,1,00001,1,00010,2,1@2,0,0,1,1,01,IDLE,10,CHECK,1
800,1,0,1,00000,0,00010,2,1@2,0,0,1,0,10,CHECK,10,CHECK,0
850,0,0,1,00000,0,00010,2,1@2,0,0,0,0,10,CHECK,10,CHECK,0
900,1,0,1,00001,1,00010,2,1@2,0,0,0,0,10,CHECK,10,CHECK,1
950,0,0,1,00001,1,00010,2,1@2,0,0,0,0,10,CHECK,10,CHECK,1
1000,1,1,1,00010,2,00010,2,1@2,0,0,0,0,10,CHECK,01,IDLE,2
1050,0,1,1,00010,2,00010,2,1@2,0,0,0,0,10,CHECK,01,IDLE,2
1100,1,1,1,00010,2,00010,2,1@2,0,0,0,1,01,IDLE,01,IDLE,2
1150,0,1,1,00010,2,00011,3,1@3,0,0,0,1,01,IDLE,01,IDLE,2
1200,1,1,1,00010,2,00011,3,1@3,0,0,0,1,01,IDLE,01,IDLE,2
1250,0,1,1,00010,2,00011,3,1@3,0,0,0,1,01,IDLE,01,IDLE,2
1300,1,1,1,00010,2,00011,3,1@3,0,0,0,1,01,IDLE,01,IDLE,2
1350,0,1,1,00010,2,00011,3,1@3,0,0,1,1,01,IDLE,10,CHECK,2
1400,1,0,1,00000,0,00011,3,1@3,0,0,1,0,10,CHECK,10,CHECK,0
1450,0,0,1,00000,0,00011,3,1@3,0,0,0,0,10,CHECK,10,CHECK,0
1500,1,0,1,00001,1,00011,3,1@3,0,0,0,0,10,CHECK,10,CHECK,1
1550,0,0,1,00001,1,00011,3,1@3,0,0,0,0,10,CHECK,10,CHECK,1
1600,1,0,1,00010,2,00011,3,1@3,0,0,0,0,10,CHECK,10,CHECK,2
1650,0,0,1,00010,2,00011,3,1@3,0,0,0,0,10,CHECK,10,CHECK,2
1700,1,1,1,00011,3,00011,3,1@3,0,0,0,0,10,CHECK,01,IDLE,3
1750,0,1,1,00011,3,00011,3,1@3,0,0,0,0,10,CHECK,01,IDLE,3
