time_ns,clock,v,ve,p_bits,p_dec,pe_bits,pe_dec,b,error,reset,start,ready,state_bits,state,next_state_bits,next,count
0,0,0,0,xxxxx,,xxxxx,,0,0,1,0,0,000x,000x,000x,000x,
20,1,0,0,00000,0,xxxxx,,0,0,1,0,1,0001,INIT,0001,INIT,0
40,0,0,0,00000,0,xxxxx,,0,0,1,0,1,0001,INIT,0001,INIT,0
60,1,0,0,00000,0,xxxxx,,0,0,1,0,1,0001,INIT,0001,INIT,0
80,0,0,0,00000,0,xxxxx,,0,0,0,0,1,0001,INIT,0001,INIT,0
100,1,0,0,00000,0,xxxxx,,0,0,0,0,1,0001,INIT,0001,INIT,0
120,0,0,0,00000,0,xxxxx,,0,0,0,0,1,0001,INIT,0001,INIT,0
140,1,0,0,00000,0,xxxxx,,0,0,0,0,1,0001,INIT,0001,INIT,0
160,0,0,1,00000,0,00000,0,1@0,0,0,1,1,0001,INIT,0010,LOAD,0
180,1,0,1,00000,0,00000,0,1@0,0,0,1,0,0010,LOAD,0100,EVAL,0
200,0,0,1,00000,0,00000,0,1@0,0,0,1,0,0010,LOAD,0100,EVAL,0
220,1,1,1,00000,0,00000,0,1@0,0,0,1,0,0100,EVAL,0001,INIT,0
240,0,1,1,00000,0,00000,0,1@0,0,0,0,0,0100,EVAL,0001,INIT,0
260,1,1,1,00000,0,00000,0,1@0,0,0,0,1,0001,INIT,0001,INIT,0
280,0,1,1,00000,0,00000,0,1@0,0,0,0,1,0001,INIT,0001,INIT,0
300,1,1,1,00000,0,00000,0,1@0,0,0,0,1,0001,INIT,0001,INIT,0
320,0,1,1,00000,0,00001,1,1@1,0,0,1,1,0001,INIT,0010,LOAD,0
340,1,1,1,00000,0,00001,1,1@1,0,0,1,0,0010,LOAD,0100,EVAL,0
360,0,1,1,00000,0,00001,1,1@1,0,0,1,0,0010,LOAD,0100,EVAL,0
380,1,0,1,00000,0,00001,1,1@1,0,0,1,0,0100,EVAL,1000,SHIFT,0
400,0,0,1,00000,0,00001,1,1@1,0,0,0,0,0100,EVAL,1000,SHIFT,0
420,1,0,1,00000,0,00001,1,1@1,0,0,0,0,1000,SHIFT,0100,EVAL,0
440,0,0,1,00000,0,00001,1,1@1,0,0,0,0,1000,SHIFT,0100,EVAL,0
460,1,1,1,00001,1,00001,1,1@1,0,0,0,0,0100,EVAL,0001,INIT,1
480,0,1,1,00001,1,00001,1,1@1,0,0,0,0,0100,EVAL,0001,INIT,1
500,1,1,1,00001,1,00001,1,1@1,0,0,0,1,0001,INIT,0001,INIT,1
520,0,1,1,00001,1,00001,1,1@1,0,0,0,1,0001,INIT,0001,INIT,1
540,1,1,1,00001,1,00001,1,1@1,0,0,0,1,0001,INIT,0001,INIT,1
560,0,1,1,00001,1,00010,2,1@2,0,0,1,1,0001,INIT,0010,LOAD,1
580,1,1,1,00001,1,00010,2,1@2,0,0,1,0,0010,LOAD,0100,EVAL,1
600,0,1,1,00001,1,00010,2,1@2,0,0,1,0,0010,LOAD,0100,EVAL,1
620,1,0,1,00000,0,00010,2,1@2,0,0,1,0,0100,EVAL,1000,SHIFT,0
640,0,0,1,00000,0,00010,2,1@2,0,0,0,0,0100,EVAL,1000,SHIFT,0
660,1,0,1,00000,0,00010,2,1@2,0,0,0,0,1000,SHIFT,0100,EVAL,0
680,0,0,1,00000,0,00010,2,1@2,0,0,0,0,1000,SHIFT,0100,EVAL,0
700,1,0,1,00001,1,00010,2,1@2,0,0,0,0,0100,EVAL,1000,SHIFT,1
720,0,0,1,00001,1,00010,2,1@2,0,0,0,0,0100,EVAL,1000,SHIFT,1
740,1,0,1,00001,1,00010,2,1@2,0,0,0,0,1000,SHIFT,0100,EVAL,1
760,0,0,1,00001,1,00010,2,1@2,0,0,0,0,1000,SHIFT,0100,EVAL,1
780,1,1,1,00010,2,00010,2,1@2,0,0,0,0,0100,EVAL,0001,INIT,2
800,0,1,1,00010,2,00010,2,1@2,0,0,0,0,0100,EVAL,0001,INIT,2
820,1,1,1,00010,2,00010,2,1@2,0,0,0,1,0001,INIT,0001,INIT,2
840,0,1,1,00010,2,00010,2,1@2,0,0,0,1,0001,INIT,0001,INIT,2
860,1,1,1,00010,2,00010,2,1@2,0,0,0,1,0001,INIT,0001,INIT,2
880,0,1,1,00010,2,00011,3,1@3,0,0,1,1,0001,INIT,0010,LOAD,2
900,1,1,1,00010,2,00011,3,1@3,0,0,1,0,0010,LOAD,0100,EVAL,2
920,0,1,1,00010,2,00011,3,1@3,0,0,1,0,0010,LOAD,0100,EVAL,2
940,1,0,1,00000,0,00011,3,1@3,0,0,1,0,0100,EVAL,1000,SHIFT,0
960,0,0,1,00000,0,00011,3,1@3,0,0,0,0,0100,EVAL,1000,SHIFT,0
980,1,0,1,00000,0,00011,3,1@3,0,0,0,0,1000,SHIFT,0100,EVAL,0
1000,0,0,1,00000,0,00011,3,1@3,0,0,0,0,1000,SHIFT,0100,EVAL,0
1020,1,0,1,00001,1,00011,3,1@3,0,0,0,0,0100,EVAL,1000,SHIFT,1
1040,0,0,1,00001,1,00011,3,1@3,0,0,0,0,0100,EVAL,1000,SHIFT,1
1060,1,0,1,00001,1,00011,3,1@3,0,0,0,0,1000,SHIFT,0100,EVAL,1
1080,0,0,1,00001,1,00011,3,1@3,0,0,0,0,1000,SHIFT,0100,EVAL,1
1100,1,0,1,00010,2,00011,3,1@3,0,0,0,0,0100,EVAL,1000,SHIFT,2
1120,0,0,1,00010,2,00011,3,1@3,0,0,0,0,0100,EVAL,1000,SHIFT,2
1140,1,0,1,00010,2,00011,3,1@3,0,0,0,0,1000,SHIFT,0100,EVAL,2
1160,0,0,1,00010,2,00011,3,1@3,0,0,0,0,1000,SHIFT,0100,EVAL,2
1180,1,1,1,00011,3,00011,3,1@3,0,0,0,0,0100,EVAL,0001,INIT,3
1200,0,1,1,00011,3,00011,3,1@3,0,0,0,0,0100,EVAL,0001,INIT,3
1220,1,1,1,00011,3,00011,3,1@3,0,0,0,1,0001,INIT,0001,INIT,3
1240,0,1,1,00011,3,00011,3,1@3,0,0,0,1,0001,INIT,0001,INIT,3
1260,1,1,1,00011,3,00011,3,1@3,0,0,0,1,0001,INIT,0001,INIT,3
1280,0,1,1,00011,3,00100,4,1@4,0,0,1,1,0001,INIT,0010,LOAD,3
