time,mode,mode_name,ok,sign,exp,denorm,nan,inf,range,error
1000,0,direct,1,0,128,0,0,0,1,0
3000,0,direct,1,0,0,1,0,0,1,0
5000,0,direct,1,0,255,0,0,1,1,0
7000,0,direct,1,0,255,0,1,0,1,0
9000,1,nodenorm,1,0,38,0,0,0,1,0
11000,1,nodenorm,1,1,250,0,0,0,1,0
13000,1,nodenorm,1,0,48,0,0,0,1,0
15000,1,nodenorm,1,1,172,0,0,0,1,0
17000,1,nodenorm,1,1,11,0,0,0,1,0
19000,1,nodenorm,1,1,84,0,0,0,1,0
21000,1,nodenorm,1,1,196,0,0,0,1,0
23000,1,nodenorm,1,0,194,0,0,0,1,0
25000,1,nodenorm,1,0,182,0,0,0,1,0
27000,1,nodenorm,1,0,129,0,0,0,1,0
29000,1,nodenorm,1,1,171,0,0,0,1,0
31000,1,nodenorm,1,1,21,0,0,0,1,0
33000,1,nodenorm,1,0,122,0,0,0,1,0
35000,1,nodenorm,1,0,21,0,0,0,1,0
37000,1,nodenorm,1,0,178,0,0,0,1,0
39000,1,nodenorm,1,1,191,0,0,0,1,0
41000,1,nodenorm,1,1,89,0,0,0,1,0
43000,1,nodenorm,1,0,192,0,0,0,1,0
45000,1,nodenorm,1,1,61,0,0,0,1,0
47000,1,nodenorm,1,1,211,0,0,0,1,0
49000,1,nodenorm,1,0,25,0,0,0,1,0
51000,1,nodenorm,1,1,245,0,0,0,1,0
53000,1,nodenorm,1,0,58,0,0,0,1,0
55000,1,nodenorm,1,0,73,0,0,0,1,0
57000,1,nodenorm,1,1,158,0,0,0,1,0
59000,1,nodenorm,1,1,197,0,0,0,1,0
61000,1,nodenorm,1,1,41,0,0,0,1,0
63000,1,nodenorm,1,0,213,0,0,0,1,0
65000,1,nodenorm,1,0,150,0,0,0,1,0
67000,1,nodenorm,1,1,245,0,0,0,1,0
69000,1,nodenorm,1,1,242,0,0,0,1,0
71000,1,nodenorm,1,0,36,0,0,0,1,0
73000,1,nodenorm,1,0,217,0,0,0,1,0
75000,1,nodenorm,1,1,249,0,0,0,1,0
77000,1,nodenorm,1,1,49,0,0,0,1,0
79000,1,nodenorm,1,1,167,0,0,0,1,0
81000,1,nodenorm,1,1,222,0,0,0,1,0
83000,1,nodenorm,1,1,22,0,0,0,1,0
85000,1,nodenorm,1,0,203,0,0,0,1,0
87000,1,nodenorm,1,1,242,0,0,0,1,0
89000,1,nodenorm,1,1,67,0,0,0,1,0
91000,1,nodenorm,1,0,127,0,0,0,1,0
93000,1,nodenorm,1,0,78,0,0,0,1,0
95000,1,nodenorm,1,1,253,0,0,0,1,0
97000,1,nodenorm,1,0,243,0,0,0,1,0
99000,1,nodenorm,1,1,111,0,0,0,1,0
101000,1,nodenorm,1,0,105,0,0,0,1,0
103000,1,nodenorm,1,1,173,0,0,0,1,0
105000,1,nodenorm,1,1,46,0,0,0,1,0
107000,1,nodenorm,1,1,66,0,0,0,1,0
109000,1,nodenorm,1,1,165,0,0,0,1,0
111000,1,nodenorm,1,1,209,0,0,0,1,0
113000,1,nodenorm,1,1,76,0,0,0,1,0
115000,1,nodenorm,1,1,207,0,0,0,1,0
117000,1,nodenorm,1,0,38,0,0,0,1,0
119000,1,nodenorm,1,0,253,0,0,0,1,0
121000,1,nodenorm,1,0,96,0,0,0,1,0
123000,1,nodenorm,1,0,107,0,0,0,1,0
125000,1,nodenorm,1,0,208,0,0,0,1,0
127000,1,nodenorm,1,1,165,0,0,0,1,0
129000,1,nodenorm,1,0,251,0,0,0,1,0
131000,1,nodenorm,1,0,110,0,0,0,1,0
133000,1,nodenorm,1,1,172,0,0,0,1,0
135000,1,nodenorm,1,1,29,0,0,0,1,0
137000,1,nodenorm,1,1,69,0,0,0,1,0
139000,1,nodenorm,1,1,80,0,0,0,1,0
141000,1,nodenorm,1,0,206,0,0,0,1,0
143000,1,nodenorm,1,1,202,0,0,0,1,0
145000,1,nodenorm,1,1,255,0,1,0,1,0
147000,1,nodenorm,1,1,189,0,0,0,1,0
149000,1,nodenorm,1,0,88,0,0,0,1,0
151000,1,nodenorm,1,1,224,0,0,0,1,0
153000,1,nodenorm,1,1,182,0,0,0,1,0
155000,1,nodenorm,1,0,35,0,0,0,1,0
