time_ns,state,state_bits,next_state,next_state_bits,zero,busy,write,set_busy,clr_busy,ld_cnt,cnt_en,addr_sel,zero_we,mem_we,cnt_eq,counter,addr,addrm,dina_high,dcnt_low,din,dinm,dout
5,Init,00,Init,00,0,0,0,0,1,0,0,0,0,0,0,,0x00,0x00,x,x,0x00,0x00,x
15,Init,00,Init,00,0,0,0,0,1,0,0,0,0,0,0,,0x00,0x00,x,x,0x00,0x00,x
25,Init,00,Init,00,0,0,0,0,1,0,0,0,0,0,0,,0x00,0x00,x,x,0x00,0x00,x
35,Init,00,Init,00,0,0,0,0,1,0,0,0,0,0,0,,0xAA,0xAA,x,x,0x55,0x55,0x55
45,Init,00,Init,00,0,0,0,0,1,0,0,0,0,0,0,,0xAA,0xAA,x,x,0x55,0x55,0x55
55,Init,00,Init,00,0,0,0,0,1,0,0,0,0,0,0,,0xFF,0xFF,0xFF,x,0x55,0x55,x
65,Init,00,Init,00,0,0,0,0,1,0,0,0,0,0,0,,0x00,0x00,0xFF,0x00,0x55,0x55,x
75,Load,01,Write,10,0,1,0,1,0,1,0,0,0,0,0,,0x00,0x00,0xFF,0x00,0x55,0x55,x
85,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,0,0x00,0x00,0xFF,0x00,0x55,0x00,x
95,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,1,0x00,0x01,0xFF,0x00,0x55,0x00,x
105,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,2,0x00,0x02,0xFF,0x00,0x55,0x00,x
115,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,3,0x00,0x03,0xFF,0x00,0x55,0x00,x
125,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,4,0x00,0x04,0xFF,0x00,0x55,0x00,x
135,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,5,0x00,0x05,0xFF,0x00,0x55,0x00,x
145,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,6,0x00,0x06,0xFF,0x00,0x55,0x00,x
155,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,7,0x00,0x07,0xFF,0x00,0x55,0x00,x
165,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,8,0x00,0x08,0xFF,0x00,0x55,0x00,x
175,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,9,0x00,0x09,0xFF,0x00,0x55,0x00,x
185,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,10,0x55,0x0A,0xFF,0x00,0xAA,0x00,x
195,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,11,0xFF,0x0B,0xFF,0x00,0xAA,0x00,x
205,Write,10,Write,10,0,1,0,1,0,0,1,1,1,1,0,12,0x00,0x0C,0xFF,0x00,0xAA,0x00,x
