Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 20:23:26 on May 23,2026
# vlog -source -lint novckgen_structural.sv 
# -- Compiling module novckgen
# 
# Top level modules:
# 	novckgen
# End time: 20:23:27 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 20:23:27 on May 23,2026
# vlog -source -lint novckgen_tb.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 20:23:27 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 20:23:27 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+novckgen(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module novckgen
# Optimizing 2 design-units (inlining 0/2 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module novckgen(fast)
# Optimized design name is top_optimized
# End time: 20:23:28 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 20:23:28 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.novckgen(fast)
# 1
# Time: 0 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 5 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 10 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 15 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 20 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 25 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 30 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 35 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 40 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 45 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 50 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 55 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 60 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 65 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 70 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 75 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 80 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 85 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 90 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 95 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 100 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 105 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 110 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 115 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 120 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 125 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 130 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 135 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 140 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 145 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 150 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 155 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 160 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 165 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 170 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 175 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 180 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 185 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
# Time: 190 | CK: 0 | CK1: 1 | CK1_b: 0 | CK2: 0 | CK2_b: 1
# Time: 195 | CK: 1 | CK1: 0 | CK1_b: 1 | CK2: 1 | CK2_b: 0
