Reading pref.tcl

# 2021.3_1

# set HOLDTICKS 4
# 4
#  set RECALLTICKS 10
# 10
#  set ASSERT_RECALLTICKS 8
# 8
#  set EXPECT_ASSERTION_FAILURE 1
# 1
#  do run.do
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:08:52 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vlog -source -lint "+define+ASSERT_HOLDTICKS_VALUE=4" "+define+ASSERT_RECALLTICKS_VALUE=8" "+define+EXPECT_ASSERTION_FAILURE_VALUE=1" buttons.sv assertions.sv testbench.sv 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Compiling module Buttons
# -- Compiling module ButtonAssertions
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:08:52 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:08:52 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vopt top -o top_optimized "+acc" "+cover=sbfec" -GHOLDTICKS=4 -GRECALLTICKS=10 -GDESIGN_HOLDTICKS=4 -GDESIGN_RECALLTICKS=10 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module Buttons
# -- Loading module ButtonAssertions
# Optimizing 3 design-units (inlining 0/3 module instances):
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Optimizing module ButtonAssertions(fast)
# -- Optimizing module top(fast)
# -- Optimizing module Buttons(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "Buttons(fast)".
# Optimized design name is top_optimized
# End time: 17:08:52 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:08:52 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.Buttons(fast)
# Loading work.ButtonAssertions(fast)
# 1
# Starting headlamp button self-check: design HOLDTICKS=4 RECALLTICKS=10, assertions HOLDTICKS=4 RECALLTICKS=8
# PASS [1]: reset clears outputs Press/Hold/Recall=0/0/0
# PASS [2]: short press below hold threshold before release Press/Hold/Recall=0/0/0
# PASS [3]: short press below hold threshold release pulse Press/Hold/Recall=1/0/0
# PASS [4]: short press below hold threshold press clears Press/Hold/Recall=0/0/0
# PASS [5]: short press followed by immediate re-press first release pulse Press/Hold/Recall=1/0/0
# PASS [6]: short press followed by immediate re-press immediate re-press clears pulse Press/Hold/Recall=0/0/0
# PASS [7]: short press followed by immediate re-press second release pulse Press/Hold/Recall=1/0/0
# PASS [8]: short press followed by immediate re-press second pulse clears Press/Hold/Recall=0/0/0
# PASS [9]: long press at hold threshold hold active Press/Hold/Recall=0/1/0
# PASS [10]: long press at hold threshold release clears hold Press/Hold/Recall=0/0/0
# PASS [11]: long press at hold threshold stays clear Press/Hold/Recall=0/0/0
# ** Error: EXPECTED ASSERTION FAILURE: long idle interval did not produce Recall
#    Time: 295 ns Started: 295 ns  Scope: top.B0.BA0.report_assertion_failure File: assertions.sv Line: 70
# ** Error: EXPECTED ASSERTION FAILURE: outputs Press/Hold/Recall=0/0/0 expected=0/0/1 high_ticks=0 low_ticks=8
#    Time: 295 ns Started: 295 ns  Scope: top.B0.BA0.report_assertion_failure File: assertions.sv Line: 70
# ** Error: EXPECTED ASSERTION FAILURE: long idle interval did not produce Recall
#    Time: 305 ns Started: 305 ns  Scope: top.B0.BA0.report_assertion_failure File: assertions.sv Line: 70
# ** Error: EXPECTED ASSERTION FAILURE: outputs Press/Hold/Recall=0/0/0 expected=0/0/1 high_ticks=0 low_ticks=9
#    Time: 305 ns Started: 305 ns  Scope: top.B0.BA0.report_assertion_failure File: assertions.sv Line: 70
# PASS [12]: idle interval sets recall Press/Hold/Recall=0/0/1
# PASS [13]: recall remains during next press Press/Hold/Recall=0/0/1
# PASS [14]: release clears recall and pulses press Press/Hold/Recall=1/0/0
# PASS [15]: post-recall press clears Press/Hold/Recall=0/0/0
# PASS [16]: extended hold remains hold-only hold active Press/Hold/Recall=0/1/0
# PASS [17]: extended hold remains hold-only release clears hold Press/Hold/Recall=0/0/0
# PASS [18]: extended hold remains hold-only stays clear Press/Hold/Recall=0/0/0
# Completed 18 self-checks with 0 errors
# Self-checks passed; assertion mismatch mode should report expected assertion failures above
# ** Note: $finish    : testbench.sv(226)
#    Time: 476 ns  Iteration: 0  Instance: /top
# 1
# Break in Module top at testbench.sv line 226
# Stopped at testbench.sv line 226
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:08:53 on May 23,2026
# vcover report HeadlampButtonController.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/B0/BA0
# === Design Unit: work.ButtonAssertions
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Assertions                       7         5         2    71.42%
#     Branches                        16        14         2    87.50%
#     Conditions                       3         2         1    66.66%
#     Expressions                      1         1         0   100.00%
#     Statements                      24        23         1    95.83%
# 
# =================================================================================
# === Instance: /top/B0
# === Design Unit: work.Buttons
# =================================================================================
