Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:52:24 on May 23,2026
# vlog -source -lint floatingpointpkg.sv 
# -- Compiling package floatingpointpkg
# 
# Top level modules:
# 	--none--
# End time: 16:52:24 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:52:24 on May 23,2026
# vlog -source -lint testbench.sv 
# -- Compiling module top
# -- Importing package floatingpointpkg
# 
# Top level modules:
# 	top
# End time: 16:52:24 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:52:24 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+floatingpointpkg(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Importing package floatingpointpkg
# Optimizing 2 design-units (inlining 0/1 module instances):
# -- Optimizing package floatingpointpkg(fast)
# -- Optimizing module top(fast)
# Optimized design name is top_optimized
# End time: 16:52:25 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 16:52:25 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.floatingpointpkg(fast)
# Loading work.top(fast)
# 1
# No errors -- passed testbench
# Percentage of tests passed out of a total 1400000 tests= 100.00%
# ** Note: $finish    : testbench.sv(143)
#    Time: 0 ns  Iteration: 0  Instance: /top
# 1
# Break in Module top at testbench.sv line 143
# Stopped at testbench.sv line 143
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:52:29 on May 23,2026
# vcover report floatingpointpkg.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top
# === Design Unit: work.top
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Assertions                       7         7         0   100.00%
# 
# =================================================================================
# === Instance: /floatingpointpkg
# === Design Unit: work.floatingpointpkg
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         8         7         1    87.50%
#     Conditions                       4         2         2    50.00%
#     Statements                      13        12         1    92.30%
# 
# 
# TOTAL ASSERTION COVERAGE: 100.00%  ASSERTIONS: 7
# 
# Total Coverage By Instance (filtered view): 82.45%
# 
# End time: 16:52:29 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:52:29 on May 23,2026
# vcover report floatingpointpkg.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'floatingpointpkg.ucdb'.
# End time: 16:52:29 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 16:52:29 on May 23,2026, Elapsed time: 0:00:04
# Errors: 0, Warnings: 0
