Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:04:56 on May 23,2026
# vlog -source -lint combmultiplier.sv 
# -- Compiling module full_adder
# -- Compiling module multiplier_cell
# -- Compiling module NxN_multiplier
# 
# Top level modules:
# 	NxN_multiplier
# End time: 17:04:56 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:04:56 on May 23,2026
# vlog -source -lint combmultipliertb.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:04:56 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:04:57 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+NxN_multiplier(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module NxN_multiplier
# -- Loading module multiplier_cell
# -- Loading module full_adder
# Optimizing 4 design-units (inlining 0/34 module instances):
# -- Optimizing module NxN_multiplier(fast)
# -- Optimizing module top(fast)
# -- Optimizing module multiplier_cell(fast)
# -- Optimizing module full_adder(fast)
# Optimized design name is top_optimized
# End time: 17:04:58 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:04:58 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.NxN_multiplier(fast)
# Loading work.multiplier_cell(fast)
# Loading work.full_adder(fast)
# 1
# No errors -- passed testbench
# ** Note: $finish    : combmultipliertb.sv(37)
#    Time: 2560 ns  Iteration: 0  Instance: /top
# 1
# Break in Module top at combmultipliertb.sv line 37
# Stopped at combmultipliertb.sv line 37
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:04:58 on May 23,2026
# vcover report NxN_multiplier.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[3]/mc/fa
# === Design Unit: work.full_adder
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      6         6         0   100.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[3]/mc
# === Design Unit: work.multiplier_cell
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      2         2         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[2]/mc/fa
# === Design Unit: work.full_adder
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      6         6         0   100.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[2]/mc
# === Design Unit: work.multiplier_cell
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      2         2         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[1]/mc/fa
# === Design Unit: work.full_adder
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      6         6         0   100.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[1]/mc
# === Design Unit: work.multiplier_cell
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      2         2         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[0]/mc/fa
# === Design Unit: work.full_adder
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      6         4         2    66.66%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[3]/cols[0]/mc
# === Design Unit: work.multiplier_cell
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      2         2         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[2]/cols[3]/mc/fa
# === Design Unit: work.full_adder
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      6         6         0   100.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[2]/cols[3]/mc
# === Design Unit: work.multiplier_cell
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      2         2         0   100.00%
#     Statements                       1         1         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/rows[2]/cols[2]/mc/fa
# === Design Unit: work.full_adder
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                      6         6         0   100.00%
#     Statements                       2         2         0   100.00%
