Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:31:37 on May 23,2026
# vlog -source -lint arbiter.sv 
# -- Compiling module Arbiter
# -- Compiling module ArbiterN
# -- Compiling module ArbiterCell
# 
# Top level modules:
# 	Arbiter
# End time: 17:31:37 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:31:37 on May 23,2026
# vlog -source -lint assertions.sv 
# -- Compiling module ArbiterAssertions
# 
# Top level modules:
# 	ArbiterAssertions
# End time: 17:31:38 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:31:38 on May 23,2026
# vlog -source -lint top.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:31:38 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:31:38 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+Arbiter(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module Arbiter
# -- Loading module ArbiterN
# -- Loading module ArbiterCell
# -- Loading module ArbiterAssertions
# Optimizing 5 design-units (inlining 0/12 module instances):
# -- Optimizing module ArbiterAssertions(fast)
# -- Optimizing module top(fast)
# -- Optimizing module ArbiterN(fast)
# -- Optimizing module Arbiter(fast)
# -- Optimizing module ArbiterCell(fast)
# Optimized design name is top_optimized
# End time: 17:31:39 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:31:39 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.Arbiter(fast)
# Loading work.ArbiterN(fast)
# Loading work.ArbiterCell(fast)
# Loading work.ArbiterAssertions(fast)
# 1
#  time reset request grant
# 
#    0ns 01 xxxxxxxx xxxxxxxx
#    5ns 01 xxxxxxxx 00000000
# ** Error: *** Invalid Request   15ns: r=xxxxxxxx, g=00000000
#    Time: 15 ns Started: 15 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_request File: assertions.sv Line: 16
#   15ns 00 xxxxxxxx 00000000
# ** Error: *** Invalid Request   25ns: r=xxxxxxxx, g=xxxxxxxx
#    Time: 25 ns Started: 25 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_request File: assertions.sv Line: 16
#   25ns 00 xxxxxxxx xxxxxxxx
# ** Error: *** Invalid Grant   35ns: r=zzzzzzzz, g=xxxxxxxx
#    Time: 35 ns Started: 35 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_grant File: assertions.sv Line: 22
# ** Error: *** Invalid Request   35ns: r=zzzzzzzz, g=xxxxxxxx
#    Time: 35 ns Started: 35 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_request File: assertions.sv Line: 16
#   35ns 00 zzzzzzzz xxxxxxxx
# ** Error: *** Invalid Grant   45ns: r=xxxxxxxx, g=xxxxxxxx
#    Time: 45 ns Started: 45 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_grant File: assertions.sv Line: 22
# ** Error: *** Invalid Request   45ns: r=xxxxxxxx, g=xxxxxxxx
#    Time: 45 ns Started: 45 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_request File: assertions.sv Line: 16
#   45ns 00 xxxxxxxx xxxxxxxx
# ** Error: *** Invalid Grant   55ns: r=00000000, g=xxxxxxxx
#    Time: 55 ns Started: 55 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_grant File: assertions.sv Line: 22
# ** Error: *** Invalid Request   55ns: r=00000000, g=xxxxxxxx
#    Time: 55 ns Started: 55 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_request File: assertions.sv Line: 16
#   55ns 00 00000000 xxxxxxxx
# ** Error: *** Invalid Grant   65ns: r=00000001, g=00000000
#    Time: 65 ns Started: 65 ns  Scope: top.DUT.arbiter_assertions_inst.a_valid_grant File: assertions.sv Line: 22
#   65ns 00 00000001 00000000
#   75ns 00 00000000 00000001
#   85ns 00 00001000 00000000
#   95ns 00 00000000 00001000
#  105ns 00 11000000 00000000
#  115ns 00 00000000 10000000
#  125ns 00 00001001 00000000
#  135ns 00 00000000 00001000
#  145ns 00 00100000 00000000
#  155ns 00 00000000 00100000
#  165ns 00 10101010 00000000
#  175ns 00 00000000 10000000
#  185ns 00 00010000 00000000
#  195ns 00 00000000 00010000
#  205ns 00 00001000 00000000
#  215ns 00 00001000 00001000
#  235ns 00 00000000 00001000
#  245ns 00 00000010 00000000
#  255ns 00 00000010 00000010
# ** Error: Agent 6 requested for more than 256 cycles
#    Time: 2815 ns Started: 2815 ns  Scope: top.DUT.arbiter_assertions_inst.gen_request_limit[6].a_request_limit File: assertions.sv Line: 85
# 2825ns 00 00000000 00000010
# 2835ns 00 00000100 00000000
# 2845ns 00 00000100 00000100
# ** Error: Agent 5 requested for more than 256 cycles
#    Time: 5405 ns Started: 5405 ns  Scope: top.DUT.arbiter_assertions_inst.gen_request_limit[5].a_request_limit File: assertions.sv Line: 85
