Reading pref.tcl

# 2021.3_1

# do run.do
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:59:53 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vlog -source -lint barrelshifter.sv 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Compiling module Mux2to1
# -- Compiling module BarrelShifter
# 
# Top level modules:
# 	BarrelShifter
# End time: 17:59:53 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:59:53 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vlog -source -lint testbench.sv 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:59:53 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:59:54 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vopt top -o top_optimized "+acc" "+cover=sbfec+BarrelShifter(rtl)." 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module BarrelShifter
# -- Loading module Mux2to1
# Optimizing 3 design-units (inlining 0/7 module instances):
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Optimizing module top(fast)
# -- Optimizing module BarrelShifter(fast)
# -- Optimizing module Mux2to1(fast)
# Optimized design name is top_optimized
# End time: 17:59:55 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:59:55 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.BarrelShifter(fast)
# Loading work.Mux2to1(fast)
# 1
# PASS [1]: In=00000000 ShiftAmount=0 ShiftIn=0 => Out=00000000
# PASS [2]: In=00000000 ShiftAmount=0 ShiftIn=1 => Out=00000000
# PASS [3]: In=00000000 ShiftAmount=1 ShiftIn=0 => Out=00000000
# PASS [4]: In=00000000 ShiftAmount=1 ShiftIn=1 => Out=00000001
# PASS [5]: In=00000000 ShiftAmount=2 ShiftIn=0 => Out=00000000
# PASS [6]: In=00000000 ShiftAmount=2 ShiftIn=1 => Out=00000003
# PASS [7]: In=00000000 ShiftAmount=3 ShiftIn=0 => Out=00000000
# PASS [8]: In=00000000 ShiftAmount=3 ShiftIn=1 => Out=00000007
# PASS [9]: In=00000000 ShiftAmount=4 ShiftIn=0 => Out=00000000
# PASS [10]: In=00000000 ShiftAmount=4 ShiftIn=1 => Out=0000000f
# PASS [11]: In=00000000 ShiftAmount=5 ShiftIn=0 => Out=00000000
# PASS [12]: In=00000000 ShiftAmount=5 ShiftIn=1 => Out=0000001f
# PASS [13]: In=00000000 ShiftAmount=6 ShiftIn=0 => Out=00000000
# PASS [14]: In=00000000 ShiftAmount=6 ShiftIn=1 => Out=0000003f
# PASS [15]: In=00000000 ShiftAmount=7 ShiftIn=0 => Out=00000000
# PASS [16]: In=00000000 ShiftAmount=7 ShiftIn=1 => Out=0000007f
# PASS [17]: In=00000000 ShiftAmount=8 ShiftIn=0 => Out=00000000
# PASS [18]: In=00000000 ShiftAmount=8 ShiftIn=1 => Out=000000ff
# PASS [19]: In=00000000 ShiftAmount=9 ShiftIn=0 => Out=00000000
# PASS [20]: In=00000000 ShiftAmount=9 ShiftIn=1 => Out=000001ff
# PASS [21]: In=00000000 ShiftAmount=10 ShiftIn=0 => Out=00000000
# PASS [22]: In=00000000 ShiftAmount=10 ShiftIn=1 => Out=000003ff
# PASS [23]: In=00000000 ShiftAmount=11 ShiftIn=0 => Out=00000000
# PASS [24]: In=00000000 ShiftAmount=11 ShiftIn=1 => Out=000007ff
# PASS [25]: In=00000000 ShiftAmount=12 ShiftIn=0 => Out=00000000
# PASS [26]: In=00000000 ShiftAmount=12 ShiftIn=1 => Out=00000fff
# PASS [27]: In=00000000 ShiftAmount=13 ShiftIn=0 => Out=00000000
# PASS [28]: In=00000000 ShiftAmount=13 ShiftIn=1 => Out=00001fff
# PASS [29]: In=00000000 ShiftAmount=14 ShiftIn=0 => Out=00000000
# PASS [30]: In=00000000 ShiftAmount=14 ShiftIn=1 => Out=00003fff
# PASS [31]: In=00000000 ShiftAmount=15 ShiftIn=0 => Out=00000000
# PASS [32]: In=00000000 ShiftAmount=15 ShiftIn=1 => Out=00007fff
# PASS [33]: In=00000000 ShiftAmount=16 ShiftIn=0 => Out=00000000
# PASS [34]: In=00000000 ShiftAmount=16 ShiftIn=1 => Out=0000ffff
# PASS [35]: In=00000000 ShiftAmount=17 ShiftIn=0 => Out=00000000
# PASS [36]: In=00000000 ShiftAmount=17 ShiftIn=1 => Out=0001ffff
# PASS [37]: In=00000000 ShiftAmount=18 ShiftIn=0 => Out=00000000
# PASS [38]: In=00000000 ShiftAmount=18 ShiftIn=1 => Out=0003ffff
# PASS [39]: In=00000000 ShiftAmount=19 ShiftIn=0 => Out=00000000
# PASS [40]: In=00000000 ShiftAmount=19 ShiftIn=1 => Out=0007ffff
