Reading pref.tcl

# 2021.3_1

# do run_dataflow.do
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 18:06:12 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vlog -source -lint robotdataflow.sv 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Compiling module RobotController
# 
# Top level modules:
# 	RobotController
# End time: 18:06:13 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 18:06:13 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vlog -source -lint "+define+VCD_FILE="linefollowing_dataflow_waveforms.vcd"" testbench.sv 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Compiling module RobotControllerGolden
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 18:06:13 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 18:06:13 on May 23,2026
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# vopt top -o top_optimized "+acc" "+cover=sbfec+RobotController(rtl)." 
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module RobotControllerGolden
# -- Loading module RobotController
# Optimizing 3 design-units (inlining 0/3 module instances):
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
# -- Optimizing module top(fast)
# -- Optimizing module RobotController(fast)
# -- Optimizing module RobotControllerGolden(fast)
# Optimized design name is top_optimized
# End time: 18:06:14 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 18:06:14 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.RobotControllerGolden(fast)
# Loading work.RobotController(fast)
# 1
# PASS: Sensors = 00000 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 00001 -> ML=1 MR=0 InMotion=1 Error=0
# PASS: Sensors = 00010 -> ML=1 MR=0 InMotion=1 Error=0
# PASS: Sensors = 00011 -> ML=1 MR=0 InMotion=1 Error=0
# PASS: Sensors = 00100 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 00101 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 00110 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 00111 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 01000 -> ML=0 MR=1 InMotion=1 Error=0
# PASS: Sensors = 01001 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 01010 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 01011 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 01100 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 01101 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 01110 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 01111 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 10000 -> ML=0 MR=1 InMotion=1 Error=0
# PASS: Sensors = 10001 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 10010 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 10011 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 10100 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 10101 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 10110 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 10111 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 11000 -> ML=0 MR=1 InMotion=1 Error=0
# PASS: Sensors = 11001 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 11010 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 11011 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 11100 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 11101 -> ML=0 MR=0 InMotion=0 Error=1
# PASS: Sensors = 11110 -> ML=1 MR=1 InMotion=1 Error=0
# PASS: Sensors = 11111 -> ML=1 MR=1 InMotion=1 Error=0
# No errors -- passed testbench
# ** Note: $finish    : testbench.sv(136)
#    Time: 64 ns  Iteration: 0  Instance: /top
# 1
# Break in Module top at testbench.sv line 136
# Stopped at testbench.sv line 136
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 18:06:15 on May 23,2026
# vcover report RobotController_dataflow.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT
# === Design Unit: work.RobotController
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                     12        12         0   100.00%
#     Statements                       3         3         0   100.00%
# 
# 
# Total Coverage By Instance (filtered view): 100.00%
# 
# End time: 18:06:15 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# sh: warning: setlocale: LC_ALL: cannot change locale (C.UTF-8)
