Reading pref.tcl

# 2021.3_1

# set NUMMEM 8
# 8
#  do run.do
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:18:30 on May 23,2026
# vlog -source -lint simplebusif.sv
# -- Compiling interface simplebus_if
# -- Compiling module processor_interface
# -- Compiling module memory_interface
# -- Compiling module top
#
# Top level modules:
# 	top
# End time: 16:18:31 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:18:31 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec" -GNUMMEM=8
#
# Top level modules:
# 	top
#
# Analyzing design...
# -- Loading module top
# -- Loading interface simplebus_if
# -- Loading module processor_interface
# -- Loading module memory_interface
# Optimizing 12 design-units (inlining 0/11 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module processor_interface(fast)
# -- Optimizing module memory_interface(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast)".
# -- Optimizing module memory_interface(fast__1)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast__1)".
# -- Optimizing module memory_interface(fast__2)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast__2)".
# -- Optimizing module memory_interface(fast__3)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast__3)".
# -- Optimizing module memory_interface(fast__4)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast__4)".
# -- Optimizing module memory_interface(fast__5)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast__5)".
# -- Optimizing module memory_interface(fast__6)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast__6)".
# -- Optimizing module memory_interface(fast__7)
# ** Note: (vopt-143) Recognized 1 FSM in module "memory_interface(fast__7)".
# -- Optimizing interface simplebus_if(fast__1)
# -- Optimizing interface simplebus_if(fast)
# Optimized design name is top_optimized
# End time: 16:18:32 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage
# Start time: 16:18:32 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.simplebus_if(fast__1)
# Loading work.processor_interface(fast)
# Loading work.memory_interface(fast)
# Loading work.memory_interface(fast__1)
# Loading work.memory_interface(fast__2)
# Loading work.memory_interface(fast__3)
# Loading work.memory_interface(fast__4)
# Loading work.memory_interface(fast__5)
# Loading work.memory_interface(fast__6)
# Loading work.memory_interface(fast__7)
# 1
# Starting SimpleBus multi-memory self-check with NUMMEM=8
# PASS [1]: base 0 directed write addr=0x000100 data=0x40
# PASS [2]: base 0 directed read addr=0x000100 data=0x40
# PASS [3]: base 1 directed write addr=0x010100 data=0x41
# PASS [4]: base 1 directed read addr=0x010100 data=0x41
# PASS [5]: base 2 directed write addr=0x020100 data=0x42
# PASS [6]: base 2 directed read addr=0x020100 data=0x42
# PASS [7]: base 3 directed write addr=0x030100 data=0x43
# PASS [8]: base 3 directed read addr=0x030100 data=0x43
# PASS [9]: base 4 directed write addr=0x040100 data=0x44
# PASS [10]: base 4 directed read addr=0x040100 data=0x44
# PASS [11]: base 5 directed write addr=0x050100 data=0x45
# PASS [12]: base 5 directed read addr=0x050100 data=0x45
# PASS [13]: base 6 directed write addr=0x060100 data=0x46
# PASS [14]: base 6 directed read addr=0x060100 data=0x46
# PASS [15]: base 7 directed write addr=0x070100 data=0x47
# PASS [16]: base 7 directed read addr=0x070100 data=0x47
# PASS [17]: base 0 low boundary write addr=0x000000 data=0xa5
# PASS [18]: base 0 low boundary read addr=0x000000 data=0xa5
# PASS [19]: base 0 high-1 boundary write addr=0x00fffe data=0x5a
# PASS [20]: base 0 high-1 boundary read addr=0x00fffe data=0x5a
# PASS [21]: last base high boundary write addr=0x07ffff data=0xc3
# PASS [22]: last base high boundary read addr=0x07ffff data=0xc3
# PASS [23]: base 0 isolated offset write addr=0x001234 data=0x80
# PASS [24]: base 1 isolated offset write addr=0x011234 data=0x81
# PASS [25]: base 2 isolated offset write addr=0x021234 data=0x82
# PASS [26]: base 3 isolated offset write addr=0x031234 data=0x83
# PASS [27]: base 4 isolated offset write addr=0x041234 data=0x84
# PASS [28]: base 5 isolated offset write addr=0x051234 data=0x85
# PASS [29]: base 6 isolated offset write addr=0x061234 data=0x86
# PASS [30]: base 7 isolated offset write addr=0x071234 data=0x87
# PASS [31]: base 0 isolated offset read addr=0x001234 data=0x80
# PASS [32]: base 1 isolated offset read addr=0x011234 data=0x81
# PASS [33]: base 2 isolated offset read addr=0x021234 data=0x82
# PASS [34]: base 3 isolated offset read addr=0x031234 data=0x83
# PASS [35]: base 4 isolated offset read addr=0x041234 data=0x84
# PASS [36]: base 5 isolated offset read addr=0x051234 data=0x85
# PASS [37]: base 6 isolated offset read addr=0x061234 data=0x86
# PASS [38]: base 7 isolated offset read addr=0x071234 data=0x87
# PASS [39]: unmapped base read timeout addr=0x0800aa
# PASS [40]: unmapped base write timeout addr=0x0800aa data=0x99
# Completed 40 self-checks with 0 errors
# No errors -- passed testbench
# ** Note: $finish    : simplebusif.sv(440)
#    Time: 1945 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at simplebusif.sv line 440
# Stopped at simplebusif.sv line 440
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:18:33 on May 23,2026
# vcover report SimpleBusMultiMemory.ucdb
# Coverage Report Summary Data by instance
#
