Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:00:25 on May 23,2026
# vlog -source -lint multiplier.sv 
# -- Compiling module SequentialMultiplier
# -- Compiling module DataPath
# -- Compiling module FSM
# 
# Top level modules:
# 	SequentialMultiplier
# End time: 17:00:26 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:00:26 on May 23,2026
# vlog -source -lint multtb.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:00:26 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:00:26 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+SequentialMultiplier(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module SequentialMultiplier
# -- Loading module DataPath
# -- Loading module FSM
# Optimizing 4 design-units (inlining 0/4 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module DataPath(fast)
# -- Optimizing module FSM(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "FSM(fast)".
# -- Optimizing module SequentialMultiplier(fast)
# Optimized design name is top_optimized
# End time: 17:00:27 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:00:27 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.SequentialMultiplier(fast)
# Loading work.DataPath(fast)
# Loading work.FSM(fast)
# 1
# No errors -- passed testbench
# ** Note: $finish    : multtb.sv(111)
#    Time: 256950 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at multtb.sv line 111
# Stopped at multtb.sv line 111
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:00:28 on May 23,2026
# vcover report SequentialMultiplier.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT/datapath
# === Design Unit: work.DataPath
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        10        10         0   100.00%
#     Expressions                      1         1         0   100.00%
#     Statements                      13        13         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/fsm
# === Design Unit: work.FSM
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        12        12         0   100.00%
#     FSM States                       2         2         0   100.00%
#     FSM Transitions                  2         2         0   100.00%
#     Statements                      11        11         0   100.00%
# 
# 
# Total Coverage By Instance (filtered view): 100.00%
# 
# End time: 17:00:28 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:00:28 on May 23,2026
# vcover report SequentialMultiplier.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'SequentialMultiplier.ucdb'.
# End time: 17:00:28 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 17:00:28 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
