Reading pref.tcl

# 2021.3_1

# do run_complex.do
# 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 15:58:08 on May 23,2026
# vlog -source -lint complexpkg.sv 
# -- Compiling package complexpkg
# 
# Top level modules:
# 	--none--
# End time: 15:58:08 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 15:58:08 on May 23,2026
# vlog -source -lint complexm.sv 
# -- Compiling module top
# -- Importing package complexpkg
# 
# Top level modules:
# 	top
# End time: 15:58:08 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 15:58:09 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+top(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Importing package complexpkg
# Optimizing 2 design-units (inlining 0/1 module instances):
# -- Optimizing package complexpkg(fast)
# -- Optimizing module top(fast)
# Optimized design name is top_optimized
# End time: 15:58:10 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 15:58:10 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.complexpkg(fast)
# Loading work.top(fast)
# 1
# PASS [1]: CreateComplex => (r: 1.500000, i: -2.000000)
# PASS [2]: ComplexToComponents => components r=1.500000 i=-2.000000
# PASS [3]: AddComplex => (r: 4.750000, i: 2.000000)
# PASS [4]: MultComplex => (r: 12.875000, i: -0.500000)
# PASS [5]: AddComplex identity => (r: 1.500000, i: -2.000000)
# PASS [6]: MultComplex zero => (r: 0.000000, i: 0.000000)
# PrintComplex demonstration:
# (r: 3.250000, i: 4.000000)
# 
# Ran 6 checks, 0 errors
# No errors -- passed testbench
# ** Note: $finish    : complexm.sv(97)
#    Time: 0 ns  Iteration: 0  Instance: /top
# 1
# Break in Module top at complexm.sv line 97
# Stopped at complexm.sv line 97
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 15:58:10 on May 23,2026
# vcover report complexpkg.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top
# === Design Unit: work.top
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         8         4         4    50.00%
#     Conditions                       6         0         6     0.00%
#     Statements                      32        26         6    81.25%
# 
# 
# Total Coverage By Instance (filtered view): 43.75%
# 
# End time: 15:58:10 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 15:58:10 on May 23,2026
# vcover report complexpkg.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'complexpkg.ucdb'.
# End time: 15:58:10 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 15:58:10 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
