Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:31:34 on May 23,2026
# vlog -source -lint BrailleDataflow.v 
# -- Compiling module BrailleDigits
# 
# Top level modules:
# 	BrailleDigits
# End time: 16:31:34 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:31:34 on May 23,2026
# vlog -source -lint BrailleTestbench.v 
# -- Compiling module KGD
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 16:31:34 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:31:34 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+BrailleDigits(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module KGD
# -- Loading module BrailleDigits
# Optimizing 3 design-units (inlining 0/3 module instances):
# -- Optimizing module BrailleDigits(fast)
# -- Optimizing module top(fast)
# -- Optimizing module KGD(fast)
# Optimized design name is top_optimized
# End time: 16:31:35 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 16:31:35 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading work.top(fast)
# Loading work.KGD(fast)
# Loading work.BrailleDigits(fast)
# 1
# No errors -- passed testbench
# ** Note: $finish    : BrailleTestbench.v(60)
#    Time: 10 us  Iteration: 0  Instance: /top
# 1
# Break in Module top at BrailleTestbench.v line 60
# Stopped at BrailleTestbench.v line 60
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:31:36 on May 23,2026
# vcover report BrailleDigits.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT
# === Design Unit: work.BrailleDigits
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Expressions                     16        16         0   100.00%
#     Statements                       4         4         0   100.00%
# 
# 
# Total Coverage By Instance (filtered view): 100.00%
# 
# End time: 16:31:36 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:31:36 on May 23,2026
# vcover report BrailleDigits.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'BrailleDigits.ucdb'.
# End time: 16:31:36 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 16:31:36 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
