Reading pref.tcl

# 2021.3_1

# do run_pipeline.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:18 on May 23,2026
# vlog -source -lint FFO32.sv 
# -- Compiling module FFO32
# -- Compiling module LZD2
# -- Compiling module LZDn
# 
# Top level modules:
# 	FFO32
# End time: 16:56:18 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:18 on May 23,2026
# vlog -source -lint FFO32p.sv 
# -- Compiling module FFO32p
# -- Compiling module LZD2
# -- Compiling module LZDn
# 
# Top level modules:
# 	FFO32p
# End time: 16:56:19 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:19 on May 23,2026
# vlog -source -lint FFO32ptb.sv 
# -- Compiling module top
# -- Compiling module FFO32
# 
# Top level modules:
# 	top
# End time: 16:56:19 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 16:56:19 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+FFO32p(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module FFO32p
# -- Loading module LZDn
# -- Loading module FFO32
# -- Loading module LZD2
# Optimizing 13 design-units (inlining 0/65 module instances):
# -- Optimizing module FFO32p(fast)
# -- Optimizing module FFO32(fast)
# -- Optimizing module top(fast)
# -- Optimizing module LZDn(fast)
# -- Optimizing module LZDn(fast__1)
# -- Optimizing module LZDn(fast__2)
# -- Optimizing module LZDn(fast__3)
# -- Optimizing module LZDn(fast__4)
# -- Optimizing module LZDn(fast__5)
# -- Optimizing module LZDn(fast__6)
# -- Optimizing module LZDn(fast__7)
# -- Optimizing module LZD2(fast)
# -- Optimizing module LZD2(fast__1)
# Optimized design name is top_optimized
# End time: 16:56:20 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 16:56:20 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.FFO32p(fast)
# Loading work.LZD2(fast)
# Loading work.LZDn(fast)
# Loading work.LZDn(fast__1)
# Loading work.LZDn(fast__2)
# Loading work.LZDn(fast__3)
# Loading work.FFO32(fast)
# Loading work.LZD2(fast__1)
# Loading work.LZDn(fast__4)
# Loading work.LZDn(fast__5)
# Loading work.LZDn(fast__6)
# Loading work.LZDn(fast__7)
# 1
# No errors -- passed testbench
# ** Note: $finish    : FFO32ptb.sv(80)
#    Time: 3850 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at FFO32ptb.sv line 80
# Stopped at FFO32ptb.sv line 80
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 16:56:21 on May 23,2026
# vcover report FFO32p.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT/lzd16_gen[1]/lzd16_inst
# === Design Unit: work.LZDn
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      2         1         1    50.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/lzd16_gen[0]/lzd16_inst
# === Design Unit: work.LZDn
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      2         1         1    50.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/lzd8_gen[3]/lzd8_inst
# === Design Unit: work.LZDn
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      2         1         1    50.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/lzd8_gen[2]/lzd8_inst
# === Design Unit: work.LZDn
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      2         1         1    50.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/lzd8_gen[1]/lzd8_inst
# === Design Unit: work.LZDn
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      2         1         1    50.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/lzd8_gen[0]/lzd8_inst
# === Design Unit: work.LZDn
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Expressions                      2         1         1    50.00%
#     Statements                       2         2         0   100.00%
# 
# =================================================================================
# === Instance: /top/DUT/lzd4_gen[7]/lzd4_inst
# === Design Unit: work.LZDn
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
