Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:26:47 on May 23,2026
# vlog -source -lint seqparitygen.sv 
# -- Compiling module paritygen
# 
# Top level modules:
# 	paritygen
# End time: 17:26:47 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:26:47 on May 23,2026
# vlog -source -lint seqparitygentb.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:26:47 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:26:47 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+paritygen(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module paritygen
# Optimizing 2 design-units (inlining 0/2 module instances):
# -- Optimizing module paritygen(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "paritygen(fast)".
# -- Optimizing module top(fast)
# Optimized design name is top_optimized
# End time: 17:26:48 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:26:48 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.paritygen(fast)
# 1
# No errors -- passed testbench
# ** Note: $finish    : seqparitygentb.sv(49)
#    Time: 3630 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at seqparitygentb.sv line 49
# Stopped at seqparitygentb.sv line 49
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:26:49 on May 23,2026
# vcover report paritygen.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT
# === Design Unit: work.paritygen
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        29        29         0   100.00%
#     Conditions                       9         8         1    88.88%
#     Expressions                      1         1         0   100.00%
#     FSM States                       4         4         0   100.00%
#     FSM Transitions                  6         4         2    66.66%
#     Statements                      28        28         0   100.00%
# 
# 
# Total Coverage By Instance (filtered view): 92.59%
# 
# End time: 17:26:49 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:26:49 on May 23,2026
# vcover report paritygen.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'paritygen.ucdb'.
# End time: 17:26:49 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 17:26:49 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
