Reading pref.tcl

# 2021.3_1

# do run_fulladder.do
# 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 15:57:46 on May 23,2026
# vlog -source -lint fulladder.sv 
# -- Compiling module FullAdder
# 
# Top level modules:
# 	FullAdder
# End time: 15:57:46 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 15:57:46 on May 23,2026
# vlog -source -lint fulladdertb.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 15:57:46 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 15:57:46 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+FullAdder(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module FullAdder
# Optimizing 2 design-units (inlining 0/2 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module FullAdder(fast)
# Optimized design name is top_optimized
# End time: 15:57:47 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 15:57:47 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# Loading work.FullAdder(fast)
# 1
# PASS [1]: a=0 b=0 cin=0 => cout=0 sum=0
# PASS [2]: a=0 b=0 cin=1 => cout=0 sum=1
# PASS [3]: a=0 b=1 cin=0 => cout=0 sum=1
# PASS [4]: a=0 b=1 cin=1 => cout=1 sum=0
# PASS [5]: a=1 b=0 cin=0 => cout=0 sum=1
# PASS [6]: a=1 b=0 cin=1 => cout=1 sum=0
# PASS [7]: a=1 b=1 cin=0 => cout=1 sum=0
# PASS [8]: a=1 b=1 cin=1 => cout=1 sum=1
# 
# Ran 8 checks, 0 errors
# No errors -- passed testbench
# ** Note: $finish    : fulladdertb.sv(54)
#    Time: 8 ns  Iteration: 0  Instance: /top
# 1
# Break in Module top at fulladdertb.sv line 54
# Stopped at fulladdertb.sv line 54
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 15:57:48 on May 23,2026
# vcover report FullAdder.ucdb 
# ** Note: (vcover-17388) No matching coverage data found in file 'FullAdder.ucdb'.
# End time: 15:57:48 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 15:57:48 on May 23,2026
# vcover report FullAdder.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'FullAdder.ucdb'.
# End time: 15:57:48 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 15:57:48 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
