Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:01:20 on May 23,2026
# vlog -source -lint streamingops.sv 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:01:20 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:01:20 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+top(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# Optimizing 1 design-unit (inlining 0/1 module instances):
# -- Optimizing module top(fast)
# Optimized design name is top_optimized
# End time: 17:01:21 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:01:21 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.top(fast)
# 1
# Testing unpacked memory
# Big endian 1a1b1c1d
# Little endian 1d1c1b1a
# Operands '{41912, 3110, 47462, 58294, 2246, 28230, 3954, 62254, 17511, 21818, 7274, 53684, 64111, 6742, 13877, 30676, 16558, 33149, 47067, 3589, 34531, 33568, 26085, 30469, 36133, 7913, 9309, 40330, 8536, 18827, 53590, 37833}
# SIMD word after load 93c9d156498b21589d8a245d1ee98d25770565e5832086e30e05b7db817d40ae77d436351a56fa6fd1b41c6a553a4467f32e0f726e4608c6e3b6b9660c26a3b8
# Results '{41912, 3110, 47462, 58294, 2246, 28230, 3954, 62254, 17511, 21818, 7274, 53684, 64111, 6742, 13877, 30676, 16558, 33149, 47067, 3589, 34531, 33568, 26085, 30469, 36133, 7913, 9309, 40330, 8536, 18827, 53590, 37833}
# SIMD word 7776757473727169686766656463626159585756555453525149484746454443424139383736353433323129282726252423222119181716151413121d1c1b1a
# Memory '{26, 27, 28, 29, 18, 19, 20, 21, 22, 23, 24, 25, 33, 34, 35, 36, 37, 38, 39, 40, 41, 49, 50, 51, 52, 53, 54, 55, 56, 57, 65, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 87, 88, 89, 97, 98, 99, 100, 101, 102, 103, 104, 105, 113, 114, 115, 116, 117, 118, 119, 26, 27, 28, 29, 18, 19, 20, 21, 22, 23, 24, 25, 33, 34, 35, 36, 37, 38, 39, 40, 41, 49, 50, 51, 52, 53, 54, 55, 56, 57, 65, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 87, 88, 89, 97, 98, 99, 100, 101, 102, 103, 104, 105, 113, 114, 115, 116, 117, 118, 119, 26, 27, 28, 29, 18, 19, 20, 21, 22, 23, 24, 25, 33, 34, 35, 36, 37, 38, 39, 40, 41, 49, 50, 51, 52, 53, 54, 55, 56, 57, 65, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 87, 88, 89, 97, 98, 99, 100, 101, 102, 103, 104, 105, 113, 114, 115, 116, 117, 118, 119, 26, 27, 28, 29, 18, 19, 20, 21, 22, 23, 24, 25, 33, 34, 35, 36, 37, 38, 39, 40, 41, 49, 50, 51, 52, 53, 54, 55, 56, 57, 65, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 87, 88, 89, 97, 98, 99, 100, 101, 102, 103, 104, 105, 113, 114, 115, 116, 117, 118, 119, 26, 27, 28, 29, 18, 19, 20, 21, 22, 23, 24, 25, 33, 34, 35, 36, 37, 38, 39, 40, 41, 49, 50, 51, 52, 53, 54, 55, 56, 57, 65, 66, 67, 68, 69, 70, 71, 72, 73, 81, 82, 83, 84, 85, 86, 87, 88, 89, 97, 98, 99, 100, 101, 102, 103, 104, 105, 113, 114, 115, 116, 117, 118, 119}
# No errors -- passed testbench
# ** Note: $finish    : streamingops.sv(125)
#    Time: 70 ns  Iteration: 0  Instance: /top
# 1
# Break in Module top at streamingops.sv line 125
# Stopped at streamingops.sv line 125
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:01:22 on May 23,2026
# vcover report streamingops.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top
# === Design Unit: work.top
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Assertions                       4         4         0   100.00%
#     Branches                         6         3         3    50.00%
#     Conditions                       3         0         3     0.00%
#     Statements                      48        43         5    89.58%
# 
# 
# TOTAL ASSERTION COVERAGE: 100.00%  ASSERTIONS: 4
# 
# Total Coverage By Instance (filtered view): 59.89%
# 
# End time: 17:01:22 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:01:22 on May 23,2026
# vcover report streamingops.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'streamingops.ucdb'.
# End time: 17:01:22 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 17:01:22 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
