Reading pref.tcl

# 2021.3_1

# do run.do
# ** Error (suppressible): (vdel-19) Failed to access library 'work' at "work".
# No such file or directory. (errno = ENOENT)
# ** Warning: (vdel-57) Library 'work' is missing or is not a valid QuestaSim library.
# 1
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:02:18 on May 23,2026
# vlog -source -lint traincontrol_fsm.v 
# -- Compiling module traincontroller_fsm
# 
# Top level modules:
# 	traincontroller_fsm
# End time: 17:02:19 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:02:19 on May 23,2026
# vlog -source -lint traincontrol_fsmTB.v 
# -- Compiling module top
# 
# Top level modules:
# 	top
# End time: 17:02:19 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 17:02:19 on May 23,2026
# vopt top -o top_optimized "+acc" "+cover=sbfec+traincontroller_fsm(rtl)." 
# 
# Top level modules:
# 	top
# 
# Analyzing design...
# -- Loading module top
# -- Loading module traincontroller_fsm
# Optimizing 2 design-units (inlining 0/2 module instances):
# -- Optimizing module top(fast)
# -- Optimizing module traincontroller_fsm(fast)
# ** Note: (vopt-143) Recognized 1 FSM in module "traincontroller_fsm(fast)".
# Optimized design name is top_optimized
# End time: 17:02:20 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 17:02:20 on May 23,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading work.top(fast)
# Loading work.traincontroller_fsm(fast)
# 1
#                Time RESET S5 S4 S3 S2 S1     SW3 SW2 SW1   DA1 DA0 DB1 DB0
#                    0 1     x  x  x  x  x     0   0   0      0  1   0   1
#                   40 0     x  x  x  x  x     0   0   0      0  1   0   1
#                   80 0     0  0  0  1  0     0   0   0      0  1   0   1
#                   90 0     0  0  0  1  0     0   1   1      0  1   0   1
#                  140 0     0  0  1  0  1     0   1   1      0  1   0   1
#                  150 0     0  0  1  0  1     0   0   0      0  1   0   1
#                  200 0     0  0  0  0  1     0   0   0      0  1   0   1
#                  260 0     0  0  0  1  0     0   0   0      0  1   0   1
#                  270 0     0  0  0  1  0     0   0   0      0  1   0   0
#                  320 0     0  1  0  0  0     0   0   0      0  1   0   0
#                  330 0     0  1  0  0  0     0   1   1      0  1   0   1
#                  380 0     0  0  0  0  1     0   1   1      0  1   0   1
#                  390 0     0  0  0  0  1     0   1   1      0  0   0   1
#                  440 0     0  0  1  0  0     0   1   1      0  0   0   1
#                  450 0     0  0  1  0  0     0   0   0      0  1   0   1
# No errors -- passed testbench
# ** Note: $finish    : traincontrol_fsmTB.v(93)
#    Time: 470 ns  Iteration: 1  Instance: /top
# 1
# Break in Module top at traincontrol_fsmTB.v line 93
# Stopped at traincontrol_fsmTB.v line 93
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:02:21 on May 23,2026
# vcover report traincontroller_fsm.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /top/DUT
# === Design Unit: work.traincontroller_fsm
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                        33        24         9    72.72%
#     Conditions                      24         4        20    16.66%
#     FSM States                       5         5         0   100.00%
#     FSM Transitions                 10         7         3    70.00%
#     Statements                      44        36         8    81.81%
# 
# 
# Total Coverage By Instance (filtered view): 68.24%
# 
# End time: 17:02:21 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 17:02:21 on May 23,2026
# vcover report traincontroller_fsm.ucdb -cvg -details 
# ** Note: (vcover-17388) No matching coverage data found in file 'traincontroller_fsm.ucdb'.
# End time: 17:02:21 on May 23,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
#  quit -f
# End time: 17:02:21 on May 23,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
